p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.3477291982905998e-282,16.228420086126402,0.004,0.016,2.6954583965811997e-279,bigblob,Olfm3
4.010786996144116e-277,2.596932434618884,0.578,0.281,8.021573992288232e-274,bigblob,Nfkbiz
1.318189900882061e-274,3.373689683474188,0.03,0.034,2.636379801764122e-271,bigblob,Scg2
6.529237625545289e-274,3.3364003830402083,0.002,0.072,1.3058475251090578e-270,bigblob,Sdk2
2.169915626964941e-272,1.8022995031995177,0.616,0.359,4.339831253929882e-269,bigblob,Hif1a
9.878299118932715e-271,1.910783211166157,0.574,0.274,1.975659823786543e-267,bigblob,Tlr2
4.740789956153376e-269,1.0034700630844746,0.006,0.1,9.481579912306752e-266,bigblob,Kcnmb2
8.591028257492765e-266,2.0531670466409913,0.006,0.05,1.718205651498553e-262,bigblob,Ccdc170
3.112321033056365e-265,5.320795936574086,0.015,0.037,6.224642066112731e-262,bigblob,Map1b
6.4349141487706525e-258,1.5234432701860996,0.526,0.283,1.2869828297541306e-254,bigblob,Lpl
7.3451364018940105e-258,5.146792795524637,0.003,0.011,1.469027280378802e-254,bigblob,Gm19935
1.5668564620394628e-257,1.9299791037406955,0.285,0.091,3.1337129240789257e-254,bigblob,Serpine1
2.263890720883179e-257,8.036000030203347,0.01,0.052,4.5277814417663586e-254,bigblob,Snap25
3.5117238706724875e-257,5.354272742021905,0.016,0.024,7.023447741344975e-254,bigblob,Sncb
4.693518296316601e-255,8.783414228669013,0.005,0.017,9.387036592633202e-252,bigblob,Nrg3
1.5570158466978196e-253,1.7093990532392969,0.494,0.205,3.1140316933956393e-250,bigblob,Gm34455
5.640166938218295e-253,3.7189838731612657,0.457,0.161,1.128033387643659e-249,bigblob,Rnf144b
4.425418668782358e-250,3.228625975775687,0.015,0.033,8.850837337564715e-247,bigblob,Egfl7
2.2844811082563807e-247,4.145795886375651,0.558,0.287,4.568962216512762e-244,bigblob,Tmem119
4.91442950102343e-247,1.0355017995371671,0.005,0.025,9.82885900204686e-244,bigblob,Ptprt
1.2152160822424824e-246,4.798326305027364,0.006,0.012,2.4304321644849647e-243,bigblob,Zbbx
2.0012908921927958e-246,1.1472863573215868,0.483,0.178,4.002581784385592e-243,bigblob,Egr1
5.261645271207192e-246,3.419168440980581,0.629,0.35,1.0523290542414384e-242,bigblob,Rel
6.138567020970782e-246,5.6107012356017885,0.505,0.224,1.2277134041941564e-242,bigblob,Agmo
3.067462771827527e-245,1.1111097974453639,0.55,0.278,6.134925543655054e-242,bigblob,Rasgef1b
5.732228332259648e-243,4.675105261135066,0.004,0.012,1.1464456664519296e-239,bigblob,Cntn6
5.200689175613275e-240,2.296883424004216,0.677,0.402,1.040137835122655e-236,bigblob,C3ar1
1.1897520311643555e-236,1.1864631420265752,0.008,0.014,2.379504062328711e-233,bigblob,Fgf14
3.2926138869132325e-233,8.180963888412224,0.001,0.031,6.585227773826465e-230,bigblob,Cfap44
3.7267541718527435e-233,7.972274938572561,0.567,0.269,7.453508343705487e-230,bigblob,Ifitm10
2.7159751394577435e-231,3.1326681895510777,0.466,0.17,5.431950278915487e-228,bigblob,A830008E24Rik
3.3129722056144824e-229,4.225816819134938,0.671,0.43,6.625944411228965e-226,bigblob,Dennd4a
2.0700672156408535e-226,8.882961414424368,0.487,0.168,4.140134431281707e-223,bigblob,Itga5
1.0560260621431955e-224,6.144345944262006,0.624,0.379,2.112052124286391e-221,bigblob,Clec7a
4.204924291753232e-223,17.330256479117793,0.005,0.012,8.409848583506463e-220,bigblob,Fbln5
7.073534094015612e-222,4.39453216382921,0.01,0.009,1.4147068188031223e-218,bigblob,Dnah9
1.552750583953124e-221,4.724601009670286,0.005,0.017,3.105501167906248e-218,bigblob,Calml4
4.717817869709008e-221,1.683886648855765,0.835,0.485,9.435635739418018e-218,bigblob,Ly86
1.9636973412040025e-220,0.9518560104336036,0.614,0.35,3.927394682408005e-217,bigblob,Hpgd
4.672836958367765e-220,0.43267518266074667,0.64,0.373,9.34567391673553e-217,bigblob,Fcrls
5.533086597774218e-219,2.1619352493857598,0.492,0.209,1.1066173195548436e-215,bigblob,Or5v1b
7.498117027682173e-214,1.1401971271360658,0.018,0.008,1.4996234055364346e-210,bigblob,Gm56750
1.4927691550664107e-212,4.784672416274935,0.579,0.31,2.985538310132821e-209,bigblob,Dusp6
1.1477506044236703e-208,1.505835766490353,0.054,0.069,2.2955012088473408e-205,bigblob,Kdr
8.13939205650166e-208,1.4006802073502271,0.489,0.194,1.6278784113003322e-204,bigblob,Gem
7.300322048234222e-207,10.019589375260306,0.036,0.015,1.4600644096468444e-203,bigblob,Cfap61
1.2739470171958045e-205,2.2885156793831807,0.039,0.088,2.547894034391609e-202,bigblob,Lrrc36
3.832953593522338e-202,3.956743493964007,0.417,0.124,7.665907187044676e-199,bigblob,8030442B05Rik
2.9787482461653e-200,4.848804434924083,0.129,0.048,5.9574964923306e-197,bigblob,Glul
5.00361628559541e-200,3.2616752732712477,0.01,0.034,1.000723257119082e-196,bigblob,Negr1
7.004652295691867e-200,8.091862122080455,0.061,0.07,1.4009304591383735e-196,bigblob,Cfap161
1.6353473261324957e-199,2.9771807000526,0.031,0.037,3.2706946522649915e-196,bigblob,Itgb8
2.786016775079316e-199,13.034314085844587,0.022,0.033,5.572033550158632e-196,bigblob,Prr32
1.8297227156325984e-196,6.0044824741261,0.435,0.171,3.659445431265197e-193,bigblob,Fam20c
8.401185661825597e-196,13.377567204651504,0.011,0.021,1.6802371323651193e-192,bigblob,Tmem212
4.078370081224224e-195,0.8245306399852836,0.447,0.21,8.156740162448448e-192,bigblob,Icam1
6.7768926919693704e-195,1.103613781636697,0.026,0.013,1.355378538393874e-191,bigblob,Dnai3
4.179164853652333e-190,4.799287748802903,0.012,0.018,8.358329707304666e-187,bigblob,Cntn5
6.829448009355798e-186,3.161708526597984,0.446,0.234,1.3658896018711595e-182,bigblob,Tmx4
1.5113609661724016e-182,4.642988823954786,0.485,0.179,3.0227219323448033e-179,bigblob,Adarb1
3.9185071197482076e-181,5.0698076503807,0.02,0.05,7.837014239496416e-178,bigblob,9630013A20Rik
1.3921625057778999e-179,1.3991682758407622,0.621,0.384,2.7843250115557996e-176,bigblob,Nrp1
1.0623219262320812e-176,7.23387488366556,0.022,0.068,2.1246438524641624e-173,bigblob,2900040C04Rik
2.7295870311294192e-176,3.728493967761821,0.521,0.292,5.4591740622588386e-173,bigblob,Ppp1r15a
4.392893188613754e-176,1.436765277705244,0.01,0.002,8.785786377227507e-173,bigblob,Cfap70
2.299191119009373e-174,1.2957656540089069,0.464,0.276,4.598382238018746e-171,bigblob,Ccl6
4.942256347043402e-172,2.1651495231529685,0.002,0.018,9.884512694086804e-169,bigblob,Slco1a4
1.1063184004337851e-166,1.764793705637818,0.035,0.047,2.21263680086757e-163,bigblob,Ak9
9.124674010597752e-164,1.0638639666135354,0.421,0.132,1.8249348021195504e-160,bigblob,Tnfaip2
9.517097746644589e-164,0.9586275633162948,0.389,0.176,1.903419549328918e-160,bigblob,Tnf
1.6195754152579176e-161,13.082301130211711,0.01,0.013,3.239150830515835e-158,bigblob,Dlx1
5.327346533453155e-155,5.5963070703217,0.546,0.352,1.065469306690631e-151,bigblob,Fchsd2
1.3400871284352483e-153,2.7735286526685856,0.649,0.465,2.680174256870497e-150,bigblob,Otulinl
3.170077063326946e-151,3.0155777168475826,0.492,0.275,6.340154126653892e-148,bigblob,Igf1
1.1365429434031255e-148,2.436077301706524,0.592,0.413,2.273085886806251e-145,bigblob,Tnfaip3
2.024970619788661e-146,2.993553791134253,0.027,0.016,4.049941239577322e-143,bigblob,Atp2b2
1.035122701380685e-144,1.3985498705187043,0.009,0.013,2.07024540276137e-141,bigblob,Rsph4a
1.0148328117451554e-139,4.323190301134493,0.259,0.15,2.0296656234903107e-136,bigblob,Sgms1
1.1380720196063464e-135,13.09165372299115,0.025,0.085,2.2761440392126927e-132,bigblob,Pik3r3
8.687080720265878e-135,0.4863168296764151,0.481,0.22,1.7374161440531757e-131,bigblob,Osm
3.4113178074813545e-134,1.1210691177706291,0.599,0.362,6.822635614962709e-131,bigblob,Dapp1
4.293227945688705e-134,0.2757850195363965,0.028,0.02,8.58645589137741e-131,bigblob,Phkg1
7.517084740475872e-134,6.412707330027381,0.478,0.248,1.5034169480951743e-130,bigblob,Rab7b
8.958302216348582e-133,2.5234756014679505,0.576,0.387,1.7916604432697163e-129,bigblob,Osbpl8
2.632232799952954e-130,2.703728780895231,0.486,0.199,5.264465599905907e-127,bigblob,Lonrf3
4.326389056745493e-129,2.171155548450434,0.008,0.012,8.652778113490986e-126,bigblob,Agt
1.4191930939603517e-126,7.939595548298195,0.464,0.184,2.8383861879207033e-123,bigblob,Gm35417
1.7485086653461258e-125,8.411702279424496,0.021,0.094,3.497017330692252e-122,bigblob,Dthd1
5.768735053895034e-125,3.6500900625824846,0.311,0.188,1.1537470107790068e-121,bigblob,Gpcpd1
6.909104790192838e-125,4.967314988777224,0.463,0.179,1.3818209580385678e-121,bigblob,Adrb2
7.653532419219459e-125,1.180139146417332,0.044,0.119,1.530706483843892e-121,bigblob,Pla2g7
1.1487790140420114e-124,2.968505212625475,0.005,0.02,2.2975580280840228e-121,bigblob,Mobp
7.969271453792653e-122,2.865235476133269,0.408,0.238,1.5938542907585307e-118,bigblob,Wwox
1.718950420723423e-117,6.034147560890715,0.017,0.015,3.4379008414468465e-114,bigblob,Rab3c
1.3122333143808752e-115,1.2556022304181287,0.007,0.071,2.6244666287617503e-112,bigblob,Rasd1
6.879756715013127e-114,0.8185101573345754,0.459,0.238,1.3759513430026253e-110,bigblob,Arl5c
1.2867884273089534e-112,6.407260092726107,0.282,0.075,2.573576854617907e-109,bigblob,Chst8
1.2902963400239307e-112,1.5749263659320718,0.461,0.219,2.5805926800478615e-109,bigblob,Otud1
1.3617255130325164e-110,0.9211789828747934,0.582,0.386,2.7234510260650327e-107,bigblob,Ltc4s
7.142582668063202e-110,6.750825507505155,0.409,0.228,1.4285165336126403e-106,bigblob,Itgax
1.0272032723705072e-108,5.460570310654862,0.011,0.011,2.0544065447410146e-105,bigblob,Syt1
5.0828724889271405e-108,2.6444779775276936,0.012,0.037,1.0165744977854281e-104,bigblob,Sez6l
1.464271823627282e-105,2.6706216706897843,0.043,0.187,2.9285436472545643e-102,bigblob,Spef2
2.9636839400419816e-105,0.2108120943377365,0.642,0.466,5.9273678800839635e-102,bigblob,Cd63
3.775853927866252e-105,1.7730395138962791,0.524,0.339,7.551707855732504e-102,bigblob,Casp4
4.3995865825079366e-105,5.542177782749157,0.384,0.161,8.799173165015873e-102,bigblob,Mamdc2
5.731310948402012e-100,0.3406903165242836,0.696,0.538,1.1462621896804025e-96,bigblob,Selplg
5.595411435423146e-98,0.12219042843894856,0.011,0.02,1.1190822870846292e-94,bigblob,Slc6a11
2.0811111524769324e-96,0.9869236872664242,0.526,0.302,4.162222304953865e-93,bigblob,Gpr84
6.769120321474354e-96,2.4938717609386742,0.03,0.007,1.3538240642948707e-92,bigblob,Egfem1
1.280624836969649e-95,7.583094055866258,0.011,0.006,2.5612496739392982e-92,bigblob,Ddo
2.755808236371253e-94,4.796256494260762,0.01,0.075,5.511616472742506e-91,bigblob,Cntnap2
4.6956731950932903e-94,3.3335617752180298,0.588,0.423,9.391346390186581e-91,bigblob,Cdk6
1.8679327871023833e-93,2.1375599479791116,0.417,0.172,3.7358655742047666e-90,bigblob,Gm15155
2.0914222699092964e-93,6.476937092762517,0.373,0.167,4.182844539818593e-90,bigblob,Mgll
3.1933373405691217e-93,3.672109546477632,0.396,0.126,6.386674681138243e-90,bigblob,Tcim
2.4241142576428677e-87,1.584595548005879,0.425,0.229,4.848228515285735e-84,bigblob,Plau
1.416224865894224e-86,3.8725286515931128,0.058,0.028,2.832449731788448e-83,bigblob,Slc39a12
5.920613766014707e-84,3.708475758810821,0.279,0.179,1.1841227532029415e-80,bigblob,Tspan7
3.921933911627001e-83,1.4720926688012739,0.3,0.127,7.843867823254001e-80,bigblob,Il1b
5.706832382104864e-83,7.403056357299537,0.408,0.204,1.1413664764209727e-79,bigblob,Fhit
2.130334264071546e-82,13.69018056095305,0.011,0.013,4.260668528143092e-79,bigblob,Snhg11
5.3416573803172996e-76,2.7091402093538424,0.323,0.151,1.0683314760634599e-72,bigblob,Tamalin
2.5977682230099105e-75,2.6678968488474077,0.017,0.063,5.195536446019821e-72,bigblob,Vwf
8.842634561645214e-75,8.69969102687828,0.034,0.059,1.7685269123290427e-71,bigblob,Tgfb2
1.595537294290619e-74,1.9439224897443257,0.403,0.169,3.191074588581238e-71,bigblob,Fhad1
2.7781672813787643e-73,2.1455669978432876,0.452,0.264,5.5563345627575286e-70,bigblob,Hcar2
3.23047946250102e-72,1.9817599017058711,0.335,0.111,6.46095892500204e-69,bigblob,Dkk2
3.9808540658577874e-72,8.287116734071974,0.327,0.119,7.961708131715574e-69,bigblob,Efna5
3.43686628455334e-68,1.7095812860371895,0.016,0.082,6.87373256910668e-65,bigblob,Ppil6
1.4924715664425572e-67,2.5734161356417644,0.055,0.089,2.9849431328851144e-64,bigblob,Pbk
1.861598743479675e-67,2.7362012195203818,0.341,0.11,3.72319748695935e-64,bigblob,Col25a1
1.8547787398191904e-66,0.12727085626122836,0.365,0.474,3.7095574796383806e-63,bigblob,Odc1
2.8929905749171894e-66,6.1472229776051215,0.028,0.02,5.785981149834379e-63,bigblob,Dpp6
1.3936257992810453e-65,3.5293553021327835,0.393,0.235,2.7872515985620905e-62,bigblob,Marchf3
7.729147576779392e-62,12.499160983940838,0.08,0.011,1.5458295153558785e-58,bigblob,Pdzrn4
9.38729715153159e-62,3.930656364381159,0.055,0.031,1.877459430306318e-58,bigblob,F3
1.5647094432599742e-61,2.159503949332777,0.24,0.095,3.1294188865199484e-58,bigblob,Efr3b
4.588378870056335e-59,2.231200647532429,0.145,0.195,9.17675774011267e-56,bigblob,Mmp12
1.2172076698801733e-53,0.49700562308421503,0.141,0.22,2.4344153397603465e-50,bigblob,Tubb4b
5.402673608710905e-53,0.6587215865303051,0.59,0.458,1.080534721742181e-49,bigblob,P4ha1
5.656358600348508e-53,5.429631766931017,0.393,0.252,1.1312717200697017e-49,bigblob,Ell2
8.825285929106729e-52,0.42574661356513843,0.213,0.345,1.765057185821346e-48,bigblob,H1f5
2.5698700745117167e-50,4.05618288103706,0.4,0.181,5.139740149023433e-47,bigblob,Egln3
4.209969721771088e-50,1.1789504793950556,0.366,0.24,8.419939443542176e-47,bigblob,Cdkn1a
3.081486227327724e-48,2.574146893266576,0.044,0.007,6.162972454655448e-45,bigblob,Fbn2
5.783816526988735e-48,0.6786636356370224,0.46,0.339,1.156763305397747e-44,bigblob,Bcl2a1d
7.568035424036986e-46,12.21256564598286,0.286,0.101,1.5136070848073972e-42,bigblob,Khdrbs3
1.6061017105053353e-45,9.36235878464098,0.13,0.024,3.2122034210106704e-42,bigblob,Ctnna3
8.992734506750324e-45,5.762730927917552,0.351,0.24,1.798546901350065e-41,bigblob,Atosa
1.514552691719089e-41,5.191491832561932,0.007,0.016,3.029105383438178e-38,bigblob,St6galnac5
1.163059497958526e-40,0.5214872228940184,0.343,0.161,2.326118995917052e-37,bigblob,Elavl4
1.4716784125272544e-39,4.31187440722211,0.286,0.111,2.943356825054509e-36,bigblob,Esrrg
4.126734578246284e-39,0.30389054196349363,0.712,0.518,8.253469156492568e-36,bigblob,Ftl1
1.7921282621107027e-38,0.2156025464574256,0.139,0.235,3.5842565242214057e-35,bigblob,Cdca3
8.278158330171608e-38,3.8966346921263906,0.135,0.037,1.6556316660343215e-34,bigblob,Slc7a11
2.7365945833330115e-37,0.5358281903094735,0.483,0.356,5.473189166666023e-34,bigblob,Bcl2l11
1.1708687811595644e-35,0.11389843500127839,0.37,0.162,2.3417375623191288e-32,bigblob,Gm56614
1.2735177369078256e-35,0.24590979330596596,0.416,0.242,2.547035473815651e-32,bigblob,Baiap2l2
